'83,"Жанры: Мультиплеер, Шутер, Тактика, От первого лица","Дата выхода:
PC 2020 г.","Тактический шутер от первого лица, действие которого разворачивается в альтернативном XX веке, где напряжённость между западом и СССР переросла в глобальный конфликт.
В игре два больших взвода игроков противостоят друг другу на огромных картах, сражаясь за множество целей, которые оказывают ощутимое влияние на битву. Игроки будут иметь доступ к большому выбору оружия и снаряжения для пехоты, и конечно же не стоит забывать о наземных и воздушных транспортных средствах, способных переломить ход битвы.
Разработчик: Antimatter Games
Издатель: Antimatter Games",https://www.playground.ru/83,https://i.playground.ru/e/Vszx9CFM24g4-GjlewSogw.jpeg
12 Minutes,Жанры: Вид сверху,"Дата выхода:
PC 2020 г.
Xbox One 2020 г.","Намечавшийся романтический ужин с женой обернулся настоящим кошмаром, ведь в ваш дом ворвался полицейский детектив, обвинил вашу супругу в убийстве и жестоко избил вас... А позже вы снова пробудились в тот самый момент, когда отпирали входную дверь.
Теперь вам нужно постараться изменить ход событий и разорвать эту страшную петлю времени. В противном случае вы будете вынуждены снова и снова переживать весь этот ужас.
Разработчик: Annapurna Interactive
Издатель: Annapurna Interactive",https://www.playground.ru/12_minutes,https://i.playground.ru/e/gGKJXABswtDethQBSooEUQ.jpeg
13 Sentinels: Aegis Rim,"Жанры: Экшен, Адвенчура","Дата выхода:
PlayStation 4 22.09.2020","Приключенческая игра, события которой развиваются в будущем, где есть боевые роботы и школьники с необычными способностями.
Разработчик: Vanillaware
Издатель: Atlus",https://www.playground.ru/13_sentinels_aegis_rim,https://i.playground.ru/e/18P7XZ4g-hTuUm2dNwFsGw.jpeg
2120 MARS: Project Colonies,"Жанры: Экшен, Адвенчура","Дата выхода:
PC 2020 г.","
Разработчик: QUByte Interactive
Издатель: QUByte Interactive",https://www.playground.ru/2120_mars_project_colonies,https://i.playground.ru/e/-5jfvnyORvYc6Y1r1xfXcw.jpeg
3 Minutes to Midnight,"Жанры: Адвенчура, Логические, Инди, Юмор","Дата выхода:
PC 2020 г.","Юмористическая адвенчура, в которой игрокам придётся вжиться в роль героини по имени Бетти Андерсон, которая отчаянно пытается вернуть себе память. Помогите Бетти Андерсон и майору Элайзе Баррет раскрыть жуткий заговор, который на поверку оказывается ещё глубже и страшнее, чем кажется.
Разработчик: Scarecrow Studio
Издатель: Scarecrow Studio",https://www.playground.ru/3_minutes_to_midnight,https://i.playground.ru/e/Sgb0UKzNZZZgdMIYt1daGA.jpeg
30XX,"Жанры: Экшен, Аркада, Инди, Платформер","Дата выхода:
PC 2021 г.
Nintendo Switch 2021 г.","Экшн-платфмормер с постоянно меняющимися мирами и с поддержкой кооператива. При каждом перезапуске игры вас ждёт уникальный набор уровней, предметов и способностей, так что любое прохождение будет по-своему особенным и непредсказуемым.
Разработчик: Batterystaple Games
Издатель: Batterystaple Games",https://www.playground.ru/30xx,https://i.playground.ru/e/4Pp3dyoMRKOzdP-g-eBTyA.jpeg
9 Monkeys of Shaolin,"Жанры: Экшен, Файтинг, Инди, Кооператив","Дата выхода:
PC 16.10.2020
PlayStation 4 16.10.2020
Xbox One 16.10.2020
Nintendo Switch 16.10.2020","Игра представляет из себя классический beat ’em up, выполненный в духе игр ""старой школы"". Отправляйтесь в опасное путешествие по средневековому Китаю в роли обычной рыбака по имени Вэй Чен. Отомстите пиратам за нападение на деревню и убийство близких людей.
Широкая система развития персонажа и 3 уникальных стиля боя помогут вам справится с целой толпой врагов. При этом вы в любой момент можете призвать напарника и пройти игру вместе!
Разработчик: Sobaka Studio
Издатель: Бука",https://www.playground.ru/9_monkeys_of_shaolin,https://i.playground.ru/e/ZKDVEKEItB5SvyxR5TRFWw.png
9 Years of Shadow,"Жанры: Экшен, Инди, Платформер","Дата выхода:
PC 2021 г.","
Разработчик: Halberd Studios
Издатель: Halberd Studios",https://www.playground.ru/9_years_of_shadow,https://i.playground.ru/e/PImOueg8FXg7ss_Uwa_LUw.jpeg
A Juggler's Tale,"Жанры: Адвенчура, Инди, Фэнтези","Дата выхода:
PC 2021 г.
PlayStation 4 2021 г.
Xbox One 2021 г.
Nintendo Switch 2021 г.","Эбби — артистка, которую удерживают в плену в цирке: всё своё время она занимается развлечением публики, но всё же горячо надеется выкарабкаться на свободу. Как-то раз ей удаётся сбежать из цирка и она начинает исследовать мистический мир средневековой сказки. Ей предстоит решать много загадок, избегать западней и отрываться от преследователей на пути к свободе.
Разработчик: Kaleidoscube
Издатель: Mixtvision",https://www.playground.ru/a_jugglers_tale,https://i.playground.ru/e/FkKJCFrVJamTw8_lt0a3hw.jpeg
A Rat's Quest: The Way Back Home,"Жанры: Экшен, Адвенчура","Дата выхода:
PC 2020 г.
PlayStation 4 2020 г.
Xbox One 2020 г.
Nintendo Switch 2020 г.","Крыса Мэтт, главный герой игры пытается найти путь к своей любимой Нат, милой мышке, которая держится как домашнее животное. Вместе они планируют сбежать на улицу. Но его путешествие полно опасностей, одно из них, конечно же, «Коготь»… В роли крысы вы встретите гигантский мир с точки зрения очень маленького героя. Для нас с вами это просто открытие двери. Для крысы это приключение.
Разработчик: The Dreamerians
Издатель: HandyGames",https://www.playground.ru/a_rats_quest_the_way_back_home,https://i.playground.ru/e/a6i0YrT4KIzdEA0id5i7-A.jpeg
